iter	Passed	Remaining
0	0	77
1	1	80
2	2	74
3	2	69
4	3	67
5	4	65
6	4	64
7	5	63
8	6	62
9	6	62
10	7	61
11	8	61
12	8	59
13	9	58
14	10	57
15	10	57
16	11	57
17	12	56
18	13	56
19	13	55
20	14	54
21	15	54
22	16	53
23	16	52
24	17	52
25	18	51
26	18	51
27	19	49
28	20	49
29	20	48
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	22
63	39	22
64	40	21
65	40	21
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	58	1
97	58	1
98	58	0
99	59	0
